,Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
1752,** 2016  ARDEN S1702 hydraulic selector GRAB **,"€7,450",---,,,,,,,,,,,,,,,,,,,,,,,---,
1753,JLG 10RS 12m BATTERY SCISSOR (2016),"€7,000",Other,,,,,,,,,,,,,,,,,,,,,,,Other,
1754,Iveco Euro Cargo Eurocargo 80e18d Crewcab Tipper,"€4,750",Iveco,Eurocargo,,,2010,50 km,Diesel,---,---,3.9 litre,,,,,,,,,,,,,---,,
1755,Audi A3 1.4 Tfsi Automatic 5 Door Reverse Camera,"€18,495",Audi,A3,---,Base Trim,2016,"118,180 km",Petrol,Automatic,Hatchback,1.4 litre,125hp,9.3 sec,5,5,Black,Ireland,1,190,---,5/5,Available,,,,
1756,Audi A5 2.0tdi 190 S Line,"€35,500",Audi,A5,S Line,Sports Trim,2018,"55,289 km",Diesel,Manual,Coupe,2.0 litre,190hp,7.7 sec,4,2,Black,Ireland,3,200,Jul 2022,5/5,12 Month,,,,
1757,Ford Fiesta 1.0 Ecoboost 65ps Zetec Call Sean 086,"€12,900",Ford,Fiesta,Zetec,Medium Trim,2016,"51,400 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.8 sec,5,4,Silver,Ireland,1,180,May 2024,5/5,Available,,,,
1758,Volkswagen Polo 1.0 TSI Petrol 1 Owner,"€15,999",Volkswagen,Polo,Trendline,Base Trim,2018,"27,000 mi",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Beige,Ireland,1,190,Jul 2022,---,Available,,,,
1759,Renault Captur SE Edition Naeb Tce  Service Plan,"€35,168",Renault,Captur,SE Edition,Luxury Trim,2022,0 km,Petrol,Manual,Crossover,1.0 litre,90hp,14.0 sec,5,5,White,Ireland,---,---,---,5/5,Available,,,,
1760,Volkswagen T-Roc 1.0 TSI 115bhp Design,"€28,950",Volkswagen,T-Roc,Design,Medium Trim,2020,"28,001 km",Petrol,Manual,SUV,1.0 litre,115hp,10.1 sec,5,5,Black,Ireland,2,200,Aug 2024,5/5,12 Month,,,,
1761,Volkswagen Polo 1.0 TSI 95hp R-line,No Price,Volkswagen,Polo,R-Line,Sports Trim,2022,11 km,Petrol,Manual,Hatchback,1.0 litre,95hp,10.8 sec,5,5,White,Ireland,1,---,---,5/5,3 Year,,,,
1762,Peugeot 208 1.2 Puretech 100bhp Allure Pack,"€26,495",Peugeot,208,Allure Pack,Luxury Trim,2022,"8,000 km",Petrol,Manual,Hatchback,1.2 litre,101hp,9.9 sec,5,5,Yellow,Ireland,1,190,Mar 2026,4/5,Available,,,,
1763,Mercedes-Benz A-Class A180 - 2013 - PRICE DROP,"€10,900",Mercedes-Benz,A-Class,STYLE,Base Trim,2013,"267,000 km",Diesel,Unknown,Hatchback,1.5 litre,90hp,11.3 sec,5,5,White,Ireland,---,180,Nov 2022,5/5,,,,,
1764,2013 Audi A4 2L Tdi Manual,"€9,000",Audi,A4,---,Base Trim,2013,"182,000 mi",Diesel,Manual,Saloon,2.0 litre,120hp,10.5 sec,5,4,Black,Ireland,1,200,Aug 2023,---,,,,,
1765,BMW X3 Xdrive30e M-sport,"€75,495",BMW,X3,---,---,2023,---,Hybrid,Automatic,SUV,2.0 litre,---,---,---,---,---,---,---,---,---,---,Available,---,,,
1766,Trailer Trailer Goldhoffer TRI Axle Lowloader,€1,Trailer,Trailer,,,2022,---,Diesel,---,---,---,,,,,,,,,,,,,---,,
1767,"Peugeot Partner, 2016",No Price,Peugeot,Partner,,,2016,"72,265 mi",Diesel,Manual,MPV,1.6 litre,,,2,,,,,,,,,,,,
1768,Audi A1 30 Tfsi 110HP,"€29,950",Audi,A1,Attraction,Base Trim,2022,"16,538 km",Petrol,Manual,Hatchback,1.0 litre,110hp,10.5 sec,5,4,White,Ireland,1,200,May 2026,5/5,2 Year,,,,
1769,Nissan Qashqai 2012,"€6,950",Nissan,Qashqai,XE,Base Trim,2012,"117,027 mi",Diesel,Unknown,Hatchback,1.5 litre,110hp,12.4 sec,5,---,Grey,Ireland,---,280,Mar 2024,---,,,,,
1770,Opel Astra 2013 (1.3CDTI 95PS 5DR),"€6,000",Opel,Astra,SE,Medium Trim,2013,"212,000 km",Diesel,Manual,Hatchback,1.2 litre,95hp,14.5 sec,5,5,Grey,Ireland,1,190,Nov 2023,5/5,,,,,
1771,2012 Suzuki Swift *MANUAL*,"€7,650",Suzuki,Swift,GLX,Luxury Trim,2012,"76,000 km",Petrol,Automatic,Hatchback,1.2 litre,94hp,13.5 sec,5,5,White,Ireland,1,180,Jan 2024,5/5,,,,,
1772,Scania R420,"€8,950",Scania,Other,,,2008,"1,200,000 km",Diesel,---,Articulated Tractor Unit,11.7 litre,,,,,,,,,,,,,420,,
1773,BMW 1 Series 132  116i Automatic  1.6 Petrol,"€14,950",BMW,1-Series,---,---,2013,"69,000 km",Petrol,Automatic,Hatchback,1.6 litre,---,---,---,5,Black,Ireland,---,---,Apr 2024,---,Available,,,,
1774,Mercedes e270 CDI Elegance TAX 10/22,"€1,000",Mercedes-Benz,E-Class,,,2004,216 mi,Diesel,Automatic,Saloon,2.7 litre,,,5,4,Silver,Northern Ireland,4,---,---,,,,,,
1775,Volkwagen Golf 2010 1.6 Diesel R-Line,"€5,950",Volkswagen,Golf,,,2010,---,Diesel,---,Hatchback,1.6 litre,,,5,5,Grey,Ireland,4,200,Aug 2023,,,,,,
1776,132 Renault traffic lwb,"€2,450",Renault,Trafic,,,2013,260 mi,Diesel,---,MPV,2.0 litre,,,3,,,,,,,,,,,,
1777,Hitachi digger,"€19,000",HITACHI,,,,,,,,,,,,,,,,,,,,,,,Excavators,
1778,Skoda Scala 1.0tsi 115Bhp Ambition 5DR,"€20,950",Skoda,SCALA,Ambition,Medium Trim,2020,"39,500 km",Petrol,Manual,Hatchback,1.0 litre,116hp,9.8 sec,5,4,Blue,Ireland,1,200,Jan 2024,5/5,2 Year,,,,
1779,06 ford focus just passed NCT,"€1,275",Ford,Focus,,,2006,142 mi,Petrol,Manual,Hatchback,1.4 litre,,,5,5,Blue,Ireland,2,385,Jul 2023,,,,,,
1780,2018 SHERCO SE 300 2t,"€4,950",SHERCO,Enduro,,,2018,"2,000 mi",,,,293 cc,,,,,,,,,,,,,,,
1781,Tidy BMW 5-Series 2010,"€6,450",BMW,5-Series,,,2010,"263,000 km",Diesel,Manual,Saloon,2.0 litre,,,5,4,Black,Ireland,3,280,May 2023,,,,,,
1782,2015 Nissan Qashqai,"€16,500",Nissan,Qashqai,XE,Base Trim,2015,"93,000 mi",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,5,Blue,Ireland,1,180,May 2023,5/5,,,,,
1783,"Volkswagen Polo, 2012 1.2 Tsi Dsg Automatic","€8,899",Volkswagen,Polo,---,---,2012,"58,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Red,Ireland,1,---,Aug 2024,---,3 Month,,,,
1784,"Volkswagen Golf, 2011 1.2 tsi automatic","€8,799",Volkswagen,Golf,---,---,2011,"50,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Blue,Ireland,1,---,Aug 2023,---,3 Month,,,,
1785,ALL CARS WANTED,"€1,234",BMW,5-Series,SC,Medium Trim,2012,---,---,Manual,---,1.2 litre,75hp,14.8 sec,5,5,---,Ireland,---,180,---,4/5,,,,,
1786,2013 V.W Golf 1.2 Tsi automatic/Only 57000 miles,"€10,799",Volkswagen,Golf,---,---,2013,"57,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,---,5,Black,Ireland,1,---,Aug 2024,---,3 Month,,,,
1787,2013 V.W Golf 1.2 Tsi automatic/Only 16000 miles,"€11,199",Volkswagen,Golf,---,---,2013,"16,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Red,Ireland,1,---,Jul 2024,---,3 Month,,,,
1788,Mitsubishi Other 1993,"€2,500",Mitsubishi,Other,,,1993,---,Diesel,Automatic,Estate,2.5 litre,,,,,,,,,,,,,,,
1789,BMW X4 Xdrive20d M Sport,No Price,BMW,X4,---,---,2022,---,Diesel,Automatic,SUV,2.0 litre,---,---,---,---,---,Other,---,---,---,---,3 Year,,,,
1790,Hyundai Tucson 1.6 Executive  from  339 per Month,"€30,950",Hyundai,Tucson,Executive,Medium Trim,2020,"101,596 km",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Black,Ireland,1,270,Jan 2024,5/5,Available,,,,
1791,Volkswagen Up! 1.0 Automatic,"€6,899",Volkswagen,Up!,TAKE UP,Base Trim,2012,"55,000 mi",Petrol,Automatic,Hatchback,1.0 litre,75hp,13.2 sec,4,5,Black,Ireland,1,170,Aug 2024,5/5,3 Month,,,,
1792,"Volkswagen Polo, 2013 1.2 Tsi Dsg Automatic","€9,999",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"48,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Black,Ireland,---,180,Jan 2021,---,3 Month,,,,
1793,"Volkswagen Polo, 2013 1.2 tsi Automatic","€10,299",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"39,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Black,Ireland,1,180,Sep 2024,---,3 Month,,,,
1794,VOLKSWAGEN PASSAT ESTATE 1.9TDI..NEW NCT,"€2,100",Volkswagen,Passat,,,2004,"142,000 mi",Diesel,Manual,Estate,1.9 litre,,,5,5,Silver,Ireland,4,673,Sep 2022,,,,,,
1795,"Volkswagen Polo, 2011 1.2 Tsi Dsg Automatic","€8,399",Volkswagen,Polo,---,---,2011,"56,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,White,Ireland,---,---,Jul 2023,---,3 Month,,,,
1796,"Volkswagen Polo, 2013 1.2 Tsi Dsg Automatic","€10,299",Volkswagen,Polo,---,---,2013,"54,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Black,Ireland,1,---,---,---,3 Month,,,,
1797,ALL VANS WANTED,"€1,234",Ford,Transit,,,2016,---,Diesel,Manual,Drop-Side Lorry,2.2 litre,,,3,,,,,,,,,,,,
1798,"Volkswagen Polo, 2013 1.2 Tsi Dsg Automatic","€10,299",Volkswagen,Polo,---,---,2013,"27,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Silver,Ireland,1,---,Sep 2024,---,3 Month,,,,
1799,Audi A1 20121.4 Tfsi Petrol Automatic // 1 Owner,"€10,599",Audi,A1,---,Base Trim,2012,"53,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,8.9 sec,4,3,Silver,Ireland,1,190,May 2023,---,3 Month,,,,
1800,Volkswagen Up Red Automatic Bluemotion,"€10,499",Volkswagen,Up!,---,---,2016,"48,000 mi",Petrol,Automatic,Hatchback,1.0 litre,---,---,4,5,White,Ireland,1,---,---,---,3 Month,,,,
1801,"Volkswagen Golf, 2012 tsi auto /only 41000 miles","€9,899",Volkswagen,Golf,---,---,2012,"41,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Red,Ireland,1,---,---,---,3 Month,,,,
1802,BMW i8 1.5 Hybrid,"€69,950",BMW,i8,---,Base Trim,2017,"62,000 km",Hybrid,Automatic,Coupe,1.5 litre,362hp,4.4 sec,4,2,Silver,Ireland,2,170,Jan 2023,---,Available,7.1 kWh,,,
1803,Ford Transit Custom Trend LWB 105BHP,"€31,900",Ford,Transit,,,2022,90 km,Diesel,Manual,Car Derived Van,2.0 litre,,,---,,,,,,,,,,,,
1804,VW POLO 2013 1.2 tsi Auto/ only 60000 miles,"€10,299",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"60,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,White,Ireland,---,180,Jul 2024,---,3 Month,,,,
1805,Pallet Trucks,€380,---,,,,,,,,,,,,,,,,,,,,,,,---,
1806,2018 Hyundai Tucson,"€20,500",Hyundai,Tucson,Executive SE,Medium Trim,2018,"121,600 km",Diesel,Manual,SUV,1.7 litre,115hp,13.7 sec,5,5,Grey,Ireland,---,200,---,5/5,,,,,
1807,2011 Fluence - Aug 2023 NCT,"€2,950",Renault,Fluence,DYNAMIQUE,Medium Trim,2011,"202,512 km",Diesel,Manual,Saloon,1.5 litre,110hp,11.0 sec,5,4,Gold,Ireland,2,200,Aug 2023,---,,,,,
1808,Hyster Forklift,€0,HYSTER,,,,,,,,,,,,,,,,,,,,,,,Forklifts,
1809,"2011 Audi A1, Automatic 1.4Tfsi S/line high specs","€9,499",Audi,A1,---,Base Trim,2011,"50,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,8.9 sec,4,3,Red,Ireland,---,190,May 2023,---,3 Month,,,,
1810,Nissan NOTE 1.2 Auto,"€7,699",Nissan,Note,---,---,2013,"69,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Black,Ireland,1,---,---,---,3 Month,,,,
1811,"Volkswagen Polo, 2011 1.2 Tsi Dsg Automatic","€8,299",Volkswagen,Polo,---,---,2011,"66,000 mi",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,White,Ireland,1,---,Aug 2023,---,3 Month,,,,
1812,"Volkswagen Up! 1.0 Automatic - Low Miles 44,738","€7,199",Volkswagen,Up!,---,---,2013,"44,738 mi",Petrol,Automatic,Hatchback,1.0 litre,---,---,4,5,Red,Ireland,1,---,Aug 2024,---,3 Month,,,,
1813,"Volkswagen Up!, 2015 BlueMotion 26000 miles","€8,999",Volkswagen,Up!,---,---,2015,"26,000 mi",Petrol,Automatic,Hatchback,1.0 litre,---,---,4,3,Red,Ireland,1,---,Aug 2024,---,3 Month,,,,
1814,"Peugeot 1007, 2006 Automatic low milage","€2,999",Peugeot,1007,,,2006,"60,000 mi",Petrol,Automatic,Hatchback,1.6 litre,,,4,3,Blue,Ireland,3,---,Dec 2022,,,,,,
1815,Volkswagen Tiguan Highline 1.5tsi 150HP DSG,"€42,995",Volkswagen,Tiguan,Highline,Luxury Trim,2020,"27,001 km",Petrol,Automatic,SUV,1.5 litre,150hp,9.2 sec,5,5,Silver,Ireland,1,270,Feb 2024,5/5,12 Month,,,,
1816,Volkswagen Golf Comfortline 1.0l,"€25,995",Volkswagen,Golf,Comfortline,Medium Trim,2019,"16,001 km",Petrol,Manual,Hatchback,1.0 litre,115hp,9.8 sec,5,5,Silver,Ireland,1,190,Jul 2023,---,12 Month,,,,
1817,Undercarriage That Works at Undercarriage Ireland,No Price,HITACHI,,,,,,,,,,,,,,,,,,,,,,,Excavators,
1818,Bus seat double belted,€500,Toyota,Yaris,,,2012,---,Petrol,Automatic,,1.3 litre,,,5,,,,,,,,,,,,
1819,Volkswagen Polo Comfortline 1.0l,"€19,995",Volkswagen,Polo,Comfortline,Medium Trim,2019,"42,001 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Black,Ireland,1,190,Jan 2023,---,12 Month,,,,
1820,Volkswagen Polo Comfortline 1.0l,"€19,995",Volkswagen,Polo,Comfortline,Medium Trim,2019,"55,001 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Red,Ireland,1,190,Jan 2023,---,12 Month,,,,
1821,Volkswagen Golf Highline 1.0tsi,"€26,995",Volkswagen,Golf,Highline,Luxury Trim,2019,"50,001 km",Petrol,Manual,Hatchback,1.0 litre,115hp,9.9 sec,5,5,White,Ireland,1,200,Mar 2023,5/5,12 Month,,,,
1822,WE EXPORT OLD DIGGERS 0832066779,"€10,000",KOBELCO,,,,,,,,,,,,,,,,,,,,,,,Excavators,
1823,Volkswagen Passat Highline 2.0tdi,"€30,995",Volkswagen,Passat,Highline,Luxury Trim,2019,"51,001 km",Diesel,Manual,Saloon,2.0 litre,150hp,8.7 sec,5,4,Grey,Ireland,2,190,Sep 2023,---,12 Month,,,,
1824,Volkswagen Tiguan Comfortline 2.0tdi,"€31,495",Volkswagen,Tiguan,Comfortline,Medium Trim,2019,"41,001 km",Diesel,Manual,SUV,2.0 litre,115hp,10.9 sec,5,5,Black,Ireland,1,270,Jan 2023,5/5,12 Month,,,,
1825,"SEAT 1LTR 88,300KM LOW MILAGE  5DR","€12,950",SEAT,Ibiza,SPORT,Luxury Trim,2016,"83,383 km",Petrol,Manual,MPV,1.0 litre,110hp,9.5 sec,5,4,White,Ireland,3,200,Nov 2022,---,,,,,
1826,Toyota Avensis Celica,€985,Toyota,Corolla,,,1999,---,Petrol,Manual,Hatchback,1.8 litre,,,,,,,,,,,,,,,
1827,Lexus NX 300h Sport FWD,"€45,995",Lexus,NX,Sport,Base Trim,2019,"55,732 km",Hybrid,Automatic,SUV,2.5 litre,197hp,9.2 sec,5,5,Grey,Ireland,2,210,Feb 2023,---,Available,---,,,
1828,Toyota Camry Camry Platinum Edition,"€49,000",Toyota,Camry,Platinum Edition,Luxury Trim,2022,1 km,Hybrid,Automatic,Saloon,2.5 litre,218hp,8.3 sec,5,4,White,Ireland,1,200,Aug 2026,---,Available,1.6 kWh,,,
1829,Hyundai i20 Deluxe 2019,"€18,950",Hyundai,i20,Deluxe Plus,Luxury Trim,2019,---,Petrol,Manual,Hatchback,1.2 litre,75hp,13.6 sec,5,5,White,Ireland,1,270,Jul 2023,4/5,12 Month,,,,
1830,Vw golf 1.4 petrol,"€1,200",Volkswagen,Golf,,,2007,"340,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Red,Ireland,4,385,Feb 2023,,,,,,
1831,2016 Ford Transit Custom For Auction,No Price,Ford,Transit Custom,,,2016,"134,457 mi",Diesel,Manual,Panel Van High Roof,2.0 litre,,,9,,,,,,,,,,,,
1832,Volkswagen Passat Highline 2.0tdi,"€30,995",Volkswagen,Passat,Highline,Luxury Trim,2019,"61,001 km",Diesel,Manual,Saloon,2.0 litre,150hp,8.7 sec,5,4,Silver,Ireland,1,190,Jan 2023,---,12 Month,,,,
1833,Honda vfr800,"€2,500",Honda,Other,,,2001,"22,500 mi",,,,781 cc,,,,,,,,,,,,,,,
1834,Self Drive Hire,€1,Hitachi,,,,,,,,,,,,,,,,,,,,,,,Excavators,
1835,Audi A6 Avant 3.0 V6 TDI S-Line Quattro Automatic,"£8,500",Audi,A6,---,---,2011,"151,000 mi",Diesel,Automatic,Estate,3.0 litre,---,---,5,5,Blue,United Kingdom,2,---,---,---,,,,,
1836,Volkswagen Polo 1.2 TSI Auto Low Mileage,"€15,995",Volkswagen,Polo,Comfortline,Medium Trim,2016,"47,174 km",Petrol,Automatic,Hatchback,1.2 litre,90hp,10.8 sec,5,5,Silver,Ireland,1,180,---,---,Available,,,,
1837,Volkswagen Golf Style 1.5tsi,"€30,995",Volkswagen,Golf,Style,Luxury Trim,2020,"10,001 km",Petrol,Manual,Hatchback,1.5 litre,130hp,9.2 sec,5,5,White,Ireland,1,190,Aug 2024,5/5,12 Month,,,,
1838,Audi A4 30 TDI 136HP S-T SE,"€48,495",Audi,A4,SE,Base Trim,2022,---,Diesel,Automatic,Saloon,2.0 litre,136hp,9.5 sec,5,4,White,Ireland,1,---,---,---,3 Year,,,,
1839,Volkswagen Golf Style 1.5tsi,"€30,995",Volkswagen,Golf,Style,Luxury Trim,2020,"17,001 km",Petrol,Manual,Hatchback,1.5 litre,130hp,9.2 sec,5,5,Black,Ireland,1,190,Jul 2024,5/5,12 Month,,,,
1840,DAMAGED / CRASHED CARS BOUGHT €€,"€1,234",Toyota,Corolla,Luna,Base Trim,2021,"54,848 km",Petrol Hybrid,Automatic,Hatchback,1.8 litre,122hp,10.9 sec,5,4,Grey,Ireland,---,180,Jan 2025,5/5,,---,,,
1841,Volkswagen Golf Highline 1.0tsi,"€26,995",Volkswagen,Golf,Highline,Luxury Trim,2019,"47,001 km",Petrol,Manual,Hatchback,1.0 litre,115hp,9.9 sec,5,5,White,Ireland,2,200,Jan 2023,5/5,12 Month,,,,
1842,Volkswagen Golf R-line 1.0tsi,"€27,995",Volkswagen,Golf,R-Line,Sports Trim,2019,"36,001 km",Petrol,Manual,Hatchback,1.0 litre,115hp,9.9 sec,5,5,Blue,Ireland,1,200,Sep 2023,5/5,12 Month,,,,
1843,2014 142 Ford Fiesta Zetec 1.25 Petrol 5dr Hatch,"€8,950",Ford,Fiesta,ZETEC,Medium Trim,2014,---,Petrol,Manual,Hatchback,1.2 litre,60hp,16.9 sec,5,5,Black,Ireland,1,200,Feb 2023,5/5,3 Month,,,,
1844,Volkswagen Golf Comfortline 1.6tdi,"€24,495",Volkswagen,Golf,Comfortline,Medium Trim,2019,"77,000 km",Diesel,Manual,Hatchback,1.6 litre,115hp,10.2 sec,5,5,Blue,Ireland,1,190,Jan 2023,5/5,12 Month,,,,
1845,Volkswagen Golf Highline 1.6tdi,"€25,995",Volkswagen,Golf,Highline,Luxury Trim,2019,"75,001 km",Diesel,Manual,Hatchback,1.6 litre,115hp,10.2 sec,5,5,Silver,Ireland,2,200,Jan 2023,---,12 Month,,,,
1846,Volkswagen Polo Comfortline 1.0l,"€17,495",Volkswagen,Polo,Comfortline,Medium Trim,2018,"50,001 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Black,Ireland,2,190,Apr 2024,---,12 Month,,,,
1847,Volkswagen Tiguan Highline 2.0tdi,"€37,995",Volkswagen,Tiguan,Highline,Luxury Trim,2019,"77,001 km",Diesel,Manual,SUV,2.0 litre,150hp,9.3 sec,5,5,Grey,Ireland,1,270,Aug 2023,---,12 Month,,,,
1848,Volkswagen Sharan Highline 2.0tdi,"€38,995",Volkswagen,Sharan,Highline,Luxury Trim,2018,"91,001 km",Diesel,Manual,MPV,2.0 litre,150hp,10.3 sec,7,5,Grey,Ireland,1,280,Jul 2022,---,12 Month,,,,
1849,Nissan NV300 LWB 120 SV 4DR,"€17,949",Nissan,NV300,,,2017,"133,002 km",Diesel,Manual,Van,1.6 litre,,,---,,,,,,,,,,,,
1850,Hyundai i30 Classic 1.6 95hp,"€16,950",Hyundai,i30,Classic,Base Trim,2018,"96,400 km",Diesel,Manual,Hatchback,1.6 litre,110hp,11.0 sec,5,5,Black,Ireland,---,180,Jan 2024,5/5,Available,,,,
1851,SCRAP / UNWANTED VEHICLES BOUGHT BEST PRICE 100%,"€1,234",Nissan,Micra,,,2005,"548,484 km",Petrol,Manual,Hatchback,1.0 litre,,,5,5,Silver,Ireland,6,199,May 2022,,,,,,
1852,"2015 Nissan March 15,500 KM Automatic","€11,200",Nissan,March,---,---,2015,"15,500 km",Petrol,Automatic,Hatchback,1.2 litre,---,---,5,5,Silver,Ireland,1,190,---,---,,,,,
1853,"Ford Focus, 2012","€7,250",Ford,Focus,EDGE,Medium Trim,2012,"247,000 km",Diesel,Manual,Saloon,1.6 litre,95hp,12.6 sec,5,4,Silver,Ireland,3,190,Apr 2024,5/5,12 Month,,,,
1854,Volkswagen Tiguan Allspace R-line 2.0tdi DSG,"€42,995",Volkswagen,Tiguan Allspace,R-Line,Luxury Trim,2019,"100,001 km",Diesel,Automatic,SUV,2.0 litre,150hp,9.3 sec,7,5,Blue,Ireland,1,280,Jun 2023,---,12 Month,,,,
1855,Hyundai Kona Kauai Comfort 5DR Diesel,"€25,900",Hyundai,Kona,Comfort,Base Trim,2020,"34,499 km",Diesel,Manual,MPV,1.6 litre,116hp,10.7 sec,5,5,Blue,Ireland,1,190,Jan 2024,5/5,,,,,
1856,DAF LF250 DROPSIDE EURO 6,No Price,DAF,LF250 DROPSIDE EURO 6,,,2017,"400,479 km",Diesel,Automatic,Rigid,---,,,,,,,,,,,,,250,,
1857,Volkswagen Golf Allstar 1.2tsi Sunroof,"€20,495",Volkswagen,Golf,Allstar,Medium Trim,2017,"76,001 km",Petrol,Manual,Hatchback,1.2 litre,110hp,9.9 sec,5,5,Red,Ireland,1,200,Feb 2023,5/5,Available,,,,
1858,Volkswagen Polo Trendline 1.0tsi 95hp,"€19,495",Volkswagen,Polo,Trendline,Base Trim,2019,"44,001 km",Petrol,Manual,Hatchback,1.0 litre,95hp,10.8 sec,5,5,Black,Ireland,1,190,Mar 2023,---,12 Month,,,,
1859,"Volkswagen Polo, 2016","€14,350",Volkswagen,Polo,Fun,Medium Trim,2016,"72,500 mi",Petrol,Manual,Hatchback,1.0 litre,60hp,15.5 sec,5,5,Blue,Ireland,2,190,Aug 2024,---,6 Month,,,,
1860,Volkswagen Golf Comfortline 1.0tsl,"€23,995",Volkswagen,Golf,Comfortline,Medium Trim,2019,"42,501 km",Petrol,Manual,Hatchback,1.0 litre,115hp,9.8 sec,5,5,Red,Ireland,1,190,Jan 2023,---,12 Month,,,,
1861,2013 Iveco Stralis 6x2 28 ft slide aside box,€12,Iveco,Stralis,,,2013,"243,000 km",Unknown,---,Unknown,---,,,,,,,,,,,,,310,,
1862,Isuzu D-max 2.5   2014,"£1,234",Isuzu,D-Max,,,2014,"90,000 mi",Diesel,Manual,Pick Up,2.5 litre,,,5,,,,,,,,,,,,
1863,2004 AUDI S4 AVANT 4.2L V8 344BHP,"€15,750",Audi,S4,,,2004,"69,000 mi",Petrol,Automatic,Estate,4.2 litre,,,5,5,Blue,Other,1,---,---,,,,,,
1864,"Volkswagen Passat, 2016 COMFORTLINE","€14,950",Volkswagen,Passat,Comfortline,Medium Trim,2016,"135,000 mi",Diesel,Manual,Saloon,1.6 litre,120hp,10.8 sec,5,4,Silver,Ireland,1,190,Mar 2024,---,6 Month,,,,
1865,Volkswagen Passat Business 2.0tdi,"€34,995",Volkswagen,Passat,Business,Medium Trim,2020,"60,001 km",Diesel,Manual,Saloon,2.0 litre,150hp,8.9 sec,5,4,Silver,Ireland,2,190,Feb 2024,5/5,12 Month,,,,
1866,Toyota Landcruiser LWB AUTOMATIC,"€6,000",Toyota,Landcruiser,,,2006,"385,000 km",Diesel,Automatic,SUV,3.0 litre,,,2,,,,,,,,,,,,
1867,Opel Astra New NCT and Taxed,"€2,750",Opel Astra,Astra,,,1992,"57,000 mi",Petrol,Manual,Hatchback,1.4 litre,,,,,,,,,,,,,,,
1868,2021 BMW 530e xDrive G31 LCI M Sport Pro,"€63,990",BMW,5-Series,---,---,2021,"13,000 mi",Petrol Plug-in Hybrid,Automatic,Estate,2.0 litre,---,---,5,5,Black,Ireland,1,---,---,---,Available,---,,,---
1869,2019/192 Audi A6 S Line Black Ed 2.0TDi Auto,"€47,990",Audi,A6,S Line,Sports Trim,2019,"62,000 km",Diesel,Automatic,Saloon,2.0 litre,204hp,8.1 sec,5,4,White,Ireland,1,200,Jul 2023,5/5,Available,,,,
1870,SsangYong Actyon 2007 2.0 DIESEL 2WD/4WD AUTOMATIC,"€2,950",SsangYong,Actyon,,,2007,"68,523 mi",Diesel,Automatic,SUV,2.0 litre,,,5,5,Silver,Ireland,3,710,Mar 2023,,,,,,
1871,BMW 520d 2007 M-SPORT NEW NCT 2/23,"€3,950",BMW,5-Series,,,2007,"157,852 mi",Diesel,Manual,Saloon,2.0 litre,,,5,4,Black,Ireland,5,710,Feb 2023,,,,,,
1872,AUDI A4 SE2013 2.0 TDI 120 bhp NCT 7/23,"€8,950",Audi,A4,SE,Sports Trim,2013,"163,852 mi",Diesel,Manual,Estate,2.0 litre,120hp,10.7 sec,5,4,Silver,Ireland,2,270,Jul 2023,---,,,,,
1873,HONDA ACCORD GT 2008 2.2 DIESEL NEW NCT 1/24,"€3,950",Honda,Accord,,,2008,228 mi,Diesel,Manual,Saloon,2.2 litre,,,5,4,Blue,Ireland,3,390,Jan 2024,,,,,,
